year,month,day,dust,temp,wind,rain
2019,8,25,46,23.9,10.3,0
2019,8,26,37,25.1,8.7,0
2019,8,27,39,25.6,8.6,0
2019,8,28,20,21.8,14.5,0.2
2019,8,29,16,19,16.3,0
2019,8,30,20,19.2,14.8,0
2019,8,31,18,18.5,13.7,0.1
2019,9,1,12,17.2,15,17.6
2019,9,2,20,17,16,0
2019,9,3,18,18.4,18.2,0
2019,9,4,15,17.8,23.3,5.9
2019,9,5,15,15.5,16.4,0
2019,9,6,20,15.2,15.7,0.1
2019,9,7,14,15.1,12.8,0
2019,9,8,17,13.7,8.2,0
2019,9,9,19,14.4,9,0.1
2019,9,10,29,16,7.4,0
2019,9,11,19,18,19.4,0
2019,9,12,19,19.2,19.1,0
2019,9,13,21,17.7,12.6,0
2019,9,14,26,16.8,6.5,0
2019,9,15,22,19.6,10,0
2019,9,16,29,18.1,9.3,0.4
2019,9,17,17,15.4,10.5,0
2019,9,18,22,14.1,8.3,0
2019,9,19,23,15.4,9.4,0
2019,9,20,29,15.8,18.3,0
2019,9,21,37,17.4,19.4,0
2019,9,22,26,18.4,11.6,1.8
2019,9,23,19,17,15.9,1.1
2019,9,24,26,17.5,15.7,32
2019,9,25,18,17.8,18.4,2.2
2019,9,26,16,17.9,19.1,2.9
2019,9,27,18,16,19.4,6.6
2019,9,28,13,16,21.7,4
2019,9,29,11,16.8,24.5,4
2019,9,30,16,15.3,14.5,7
2019,10,1,18,16.2,13.5,3.7
2019,10,2,13,11.3,13.6,0
2019,10,3,24,10.8,10.8,0.9
2019,10,4,26,14.5,17.4,1.1
2019,10,5,19,14,10.4,0
2019,10,6,14,15,20.9,15.2
2019,10,7,18,13.7,11,1.8
2019,10,8,26,14.7,18.4,4.8
2019,10,9,19,13,21.9,0.2
2019,10,10,22,13.8,22.3,0
2019,10,11,16,16.3,23,7.5
2019,10,12,15,12.3,8.5,9
2019,10,13,16,14.7,17.1,3.5
2019,10,14,21,13.9,14.5,4
2019,10,15,19,13.8,12.9,0
2019,10,16,23,14.1,13.9,0.7
2019,10,17,21,12.8,11.5,3.3
2019,10,18,20,12.8,18.8,7.5
2019,10,19,19,12.4,13.5,0
2019,10,20,17,10.1,8.8,0
2019,10,21,14,12,12.5,0.7
2019,10,22,27,11.5,7.1,0
2019,10,23,39,10.5,8.1,0
2019,10,24,32,12.6,8.7,9.5
2019,10,25,20,14.2,17.5,0.2
2019,10,26,18,14.7,22,3.7
2019,10,27,19,9.4,11.4,0
2019,10,28,39,8,7.2,0
2019,10,29,17,9.4,12.8,0
2019,10,30,24,10.1,18.1,0
2019,10,31,36,9,15,0
2019,11,1,41,13.6,12.2,0
2019,11,2,29,13.1,24.9,4
2019,11,3,32,10.5,10.2,0
2019,11,4,33,10.5,7,1.5
2019,11,5,20,9.9,9.2,0.7
2019,11,6,30,8.1,9.7,0
2019,11,7,19,8.8,16.2,9.2
2019,11,8,29,6.5,9.3,1.1
2019,11,9,32,6.1,14.2,6.6
2019,11,10,22,8.4,10.4,0.7
2019,11,11,19,8.3,19.2,3.7
2019,11,12,21,7,22.8,1.5
2019,11,13,20,7.5,15.2,0.7
2019,11,14,17,7,13.2,7.7
2019,11,15,19,7,12.3,1.3
2019,11,16,23,6.9,6.3,0.2
2019,11,17,33,6.6,3.8,0.2
2019,11,18,16,7.3,11.3,0.4
2019,11,19,39,4.3,7.6,0
2019,11,20,25,5.8,16.4,0
2019,11,21,30,4.9,18.4,0.7
2019,11,22,22,8.7,16.5,4.2
2019,11,23,23,9.7,16.7,0.9
2019,11,24,20,9.8,6.6,0.2
2019,11,25,17,10.9,10.8,1.3
2019,11,26,11,12.3,12.7,0.9
2019,11,27,15,11.2,11.6,8.1
2019,11,28,14,9.6,15.9,1.8
2019,11,29,21,5.8,6.4,0.9
2019,11,30,26,4.3,9.2,0.2
2019,12,1,12,5.5,11,0
2019,12,2,26,3.9,8.2,0
2019,12,3,35,6.2,9.8,0
2019,12,4,45,5.3,6.2,0
2019,12,5,40,6.4,16.1,0
2019,12,6,17,12,27,7
2019,12,7,18,10.2,18.6,0
2019,12,8,15,10.2,28,2.4
2019,12,9,17,8.3,21.1,1.1
2019,12,10,19,8.4,21.6,4.2
2019,12,11,22,7,15.9,0
2019,12,12,22,6.6,15.3,8.8
2019,12,13,18,8,24.8,5.9
2019,12,14,19,7.3,23.9,11
2019,12,15,15,8.5,20.9,4.6
2019,12,16,20,8.6,11.5,1.3
2019,12,17,17,7.5,8.7,5.3
2019,12,18,22,7.7,12.2,2.4
2019,12,19,19,12.4,19.5,7.5
